OrderID,CustomerID,OrderDate,Region,Category,Product,Quantity,UnitPrice,Sales,Profit
2,CUST901,18-12-2024,East,Office Supplies,Pen,2,₹ 855.60,"₹ 1,711.20",₹ 180.82
3,CUST396,21-04-2024,East,Furniture,Cabinet,9,₹ 725.84,"₹ 6,532.56","₹ 1,338.02"
7,CUST836,27-05-2023,East,Furniture,Chair,3,₹ 838.74,"₹ 2,516.22",₹ 353.31
8,CUST102,06-05-2024,East,Office Supplies,Pen,10,₹ 655.94,"₹ 6,559.40","₹ 1,393.19"
9,CUST187,19-05-2023,East,Furniture,Cabinet,2,₹ 263.13,₹ 526.26,₹ 162.44
11,CUST573,13-02-2024,East,Furniture,Cabinet,4,₹ 797.78,"₹ 3,191.12",₹ 820.05
12,CUST475,27-07-2024,East,Electronics,Laptop,9,"₹ 1,127.92","₹ 10,151.28","₹ 3,254.55"
28,CUST852,26-01-2023,East,Office Supplies,Envelope,1,₹ 125.21,₹ 125.21,₹ 33.01
32,CUST385,30-07-2024,East,Furniture,Chair,3,₹ 132.18,₹ 396.54,₹ 84.37
37,CUST582,22-05-2023,East,Office Supplies,Envelope,7,₹ 578.85,"₹ 4,051.95","₹ 1,150.79"
42,CUST348,27-10-2023,East,Office Supplies,Envelope,9,₹ 555.64,"₹ 5,000.76","₹ 1,366.08"
44,CUST577,01-07-2023,East,Office Supplies,Notebook,6,₹ 558.16,"₹ 3,348.96",₹ 787.34
55,CUST440,11-02-2024,East,Office Supplies,Stapler,3,₹ 840.68,"₹ 2,522.04",₹ 365.94
57,CUST361,25-03-2023,East,Office Supplies,Pen,5,₹ 831.66,"₹ 4,158.30",₹ 627.56
58,CUST771,23-12-2023,East,Office Supplies,Envelope,10,₹ 136.11,"₹ 1,361.10",₹ 398.00
60,CUST301,23-09-2024,East,Furniture,Table,4,₹ 369.83,"₹ 1,479.32",₹ 93.52
72,CUST403,19-09-2024,East,Furniture,Desk,8,₹ 768.30,"₹ 6,146.40",₹ 902.14
76,CUST389,05-08-2024,East,Office Supplies,Envelope,8,₹ 896.93,"₹ 7,175.44","₹ 1,753.16"
79,CUST209,14-02-2023,East,Electronics,Monitor,1,₹ 181.40,₹ 181.40,₹ 61.69
86,CUST535,03-10-2023,East,Office Supplies,Stapler,9,₹ 803.40,"₹ 7,230.60","₹ 2,012.74"
